id,bibtex
chartier - le monde comme représentation,"@article{chartier1989monde,
  title={Le monde comme repr{\'e}sentation},
  author={Chartier, Roger},
  journal={Annales},
  pages={1505--1520},
  year={1989},
  publisher={JSTOR}
}"
what is editorialization - vitalli,"@article{vitali2016editorialization,
  title={What is editorialization?},
  author={Vitali Rosati, Marcello},
  journal={Sens public},
  year={2016},
  publisher={Sens public}
}"
la communication scientifique et le numérique - beaudry,"@book{beaudry2011communication,
  title={La communication scientifique et le num{\'e}rique},
  author={Beaudry, Guylaine},
  year={2011},
  publisher={Lavoisier}
}"
l'énonciation éditoriale dans les écrits d'écran,"@article{jeanneret2005enonciation,
  title={L'{\'e}nonciation {\'e}ditoriale dans les {\'e}crits d'{\'e}cran},
  author={Jeanneret, Yves and Souchier, Emmanu{\""e}l},
  journal={Communication et langages},
  volume={145},
  number={1},
  pages={3--15},
  year={2005},
  publisher={Pers{\'e}e-Portail des revues scientifiques en SHS}
}"
"conf Écrit et cultures dans l’Europe moderne, Roger Chartier",
data before the fact,"@misc{rosenberg2013data,
  title={Data before the fact},
  author={Rosenberg, Daniel},
  year={2013},
  publisher={Raw data” is an oxymoron. Cambridge, Mass.: MIT Press}
}"
bogost frequently questionned answers,"@article{bogost2009platform,
  title={Platform studies: Frequently questioned answers},
  author={Bogost, Ian and Montfort, Nick},
  journal={Digital Arts and Culture 2009},
  year={2009}
}"
declaration by design,"@article{buchanan1985declaration,
  title={Declaration by design: Rhetoric, argument, and demonstration in design practice},
  author={Buchanan, Richard},
  journal={Design Issues},
  pages={4--22},
  year={1985},
  publisher={JSTOR}
}"
citton - traiter les données,"@article{citton2012traiter,
  title={Traiter les donn{\'e}es: entre {\'e}conomie de l'attention et myc{\'e}lium de la signification},
  author={Citton, Yves},
  journal={Multitudes},
  number={2},
  pages={143--149},
  year={2012},
  publisher={Assoc. Multitudes}
}"
etalks,"@article{clivaz2014etalks,
  title={eTalks: une nouvelle forme multi-m{\'e}dia (Unil et EPFL, CH)},
  author={Clivaz, Claire},
  year={2014}
}"
design and the construction of publics,"@article{disalvo2009design,
  title={Design and the Construction of Publics},
  author={DiSalvo, Carl},
  journal={Design issues},
  volume={25},
  number={1},
  pages={48--63},
  year={2009},
  publisher={MIT Press}
}"
after the document model,
"Digital Humanities Scholarlship and Electronic Publication, Eyman & Ball","@article{eyman2015digital,
  title={Digital humanities scholarship and electronic publication},
  author={Eyman, Douglas and Ball, Cheryl},
  journal={Rhetoric and the digital humanities},
  volume={65},
  year={2015},
  publisher={University of Chicago Press}
}"
pixel dust - drucker,"@article{drucker2014pixel,
  title={Pixel dust: Illusions of innovation in scholarly publishing},
  author={Drucker, Johanna},
  journal={LA Review of Books},
  year={2014}
}"
les sciences humaines au mirroir de leurs publics - gardella,"@article{fossier2009avant,
  title={Avant-propos. Les sciences humaines au miroir de leurs publics},
  author={Fossier, Arnaud and Gardella, {\'E}douard},
  journal={Trac{\'e}s. Revue de sciences humaines},
  number={09},
  pages={5--18},
  year={2009},
  publisher={ENS {\'E}ditions}
}"
what do we talk about - lorusso,
scaling vectors,"@article{mcpherson2010scaling,
  title={Scaling Vectors: Thoughts on the future of scholarly communication},
  author={McPherson, Tara},
  journal={Journal of Electronic Publishing},
  volume={13},
  number={2},
  year={2010},
  publisher={Michigan Publishing, University of Michigan Library}
}"
l'opérationalisation moretti,"@article{moretti2015operationnalisation,
  title={{\guillemotleft}L’op{\'e}rationnalisation{\guillemotright} ou, du r{\^o}le de la mesure dans la th{\'e}orie litt{\'e}raire moderne},
  author={Moretti, Franco},
  journal={Critique},
  number={8},
  pages={712--734},
  year={2015},
  publisher={Editions de Minuit}
}"
formats d'écriture - pontille,"@article{pontille2003formats,
  title={Formats d’{\'e}criture et mondes scientifiques. Le Cas de la Sociologie},
  author={Pontille, David},
  journal={Questions de communication},
  number={3},
  pages={55--67},
  year={2003},
  publisher={Presses universitaires de Nancy}
}"
,
"Toward an algorithmic criticism, Stephen Ramsay","@book{ramsay2011reading,
  title={Reading Machines: Toward and Algorithmic Criticism},
  author={Ramsay, Stephen},
  year={2011},
  publisher={University of Illinois Press}
}"
the computational turn - david berry,"@article{berry2011computational,
  title={The computational turn: Thinking about the digital humanities},
  author={Berry, David M},
  journal={Culture Machine},
  volume={12},
  year={2011}
}"
"Towards visual intellectuality : the mediawork pamphlet series, Peter Lunenfeld","@article{lunenfeld2010towards,
  title={Towards Visual Intellectuality: The Mediawork Pamphlet Series (An Interview by Elizabeth Guffey and Raiford Guins, Part 1)},
  author={Lunenfeld, Peter},
  journal={Journal of Visual Culture},
  volume={9},
  number={2},
  pages={139--161},
  year={2010},
  publisher={SAGE Publications Sage UK: London, England}
}"
why experiment - adema,"@phdthesis{adema2015knowledge,
  title={Knowledge Production Beyond The Book? Performing the Scholarly Monograph in Contemporary Digital Culture},
  author={Adema, J},
  year={2015},
  school={PhD Thesis). Coventry University, Coventry. Retrieved from http://curve. coventry. ac. uk/open/items/8222ccb2-f6b0-4e5f-90de-f4c62c77ac86/1}
}"
Framing the debate (I) - adema,"@phdthesis{adema2015knowledge,
  title={Knowledge Production Beyond The Book? Performing the Scholarly Monograph in Contemporary Digital Culture},
  author={Adema, J},
  year={2015},
  school={PhD Thesis). Coventry University, Coventry. Retrieved from http://curve. coventry. ac. uk/open/items/8222ccb2-f6b0-4e5f-90de-f4c62c77ac86/1}
}"
what is a document drucker,
architecture de l'i et éditorialisation - lypsic,"@article{lipsyc2013architecture,
  title={Architecture de l'information et {\'e}ditorialisation},
  author={Lipsyc, Carole and Ihadjadene, Madjid},
  journal={{\'E}tudes de communication},
  number={2},
  pages={103--118},
  year={2013},
  publisher={Universit{\'e} Lille-3}
}"
public et commun - tassin,"@article{tassin1992espace,
  title={Espace commun ou espace public?},
  author={Tassin, Etienne},
  journal={Herm{\`e}s, La Revue},
  number={1},
  pages={23--37},
  year={1992},
  publisher={CNRS Editions}
}"
kindred britain - nicolas jenkins,"@misc{jenkins2013kindred,
  title={Kindred Britain},
  author={Jenkins, N and Andrews, A and Meeks, E and Grossner, K and Murray, S},
  year={2013},
  publisher={Stanford University Libraries. http://kindred. stanford. edu}
}"
mp3 format - sterne,"@book{sterne2012mp3,
  title={MP3: The meaning of a format},
  author={Sterne, Jonathan},
  year={2012},
  publisher={Duke University Press}
}"
qu'est-ce qu'un lieu de savoir - christian jacob,"@book{jacob2014qu,
  title={Qu’est-ce qu’un lieu de savoir?},
  author={Jacob, Christian},
  volume={2},
  year={2014},
  publisher={Centre pour l'{\'e}dition {\'e}lectronique ouverte}
}"
post-digital print - lorusso,"@book{ludovico2012post,
  title={Post-digital print: the mutation of publishing since 1894},
  author={Ludovico, Alessandro},
  year={2012},
  publisher={Onomatopee}
}"
speclab - johanna drucker,"@book{genette2014seuils,
  title={Seuils},
  author={Genette, G{\'e}rard},
  year={2014},
  publisher={Le Seuil}
}"
seuils - gerard genette,"@article{fuller2003looks,
  title={It looks like you're writing a letter--Microsoft Word},
  author={Fuller, Matthew},
  journal={Behind the Blip--Essays on the Culture of Software},
  year={2003}
}"
looks like you are writing a letter - fuller,"@book{gold2012debates,
  title={Debates in the digital humanities},
  author={Gold, Matthew K},
  year={2012},
  publisher={U of Minnesota Press}
}"
developing things ramsay,"@book{bratton2016stack,
  title={The stack: On software and sovereignty},
  author={Bratton, Benjamin H},
  year={2016},
  publisher={MIT press}
}"
the stack - bratton,"@book{gitelman2014paper,
  title={Paper knowledge: Toward a media history of documents},
  author={Gitelman, Lisa},
  year={2014},
  publisher={Duke University Press}
}"
paper knowledge - gitelman,
